LOCALITY,ORDER,SUBORDER.SUPERFAMILY,FAMILY,SUBFAMILY.TRIBE,GROUP.NAME,GENUSSPECIES,GENUS,SPECIES,CODE,TAXON.CODE,IDNUMBER,ELEMENT,DESCRIPT,MINIMUM.AGE,MAXIMUM.AGE,AVERAGE.AGE,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,LAT,LONG,FORMATION,REFERENCE SECTION,PALEOMAG SECTION
CH003,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,Teleoceratina,Teleoceratina,Brachypotherium perimense,Brachypotherium,perimense,0,451812112  ?080  045,Y 23261,Phalanx,INC 3RD PROXU,13.546,13.753,13.65,1,1,0,0,0,1,2,1,1,0,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Suoidea,Suidae,Listriodontinae,Listriodontinae,Listriodon pentapotamiae,Listriodon,pentapotamiae,0,45170520    031  022,Y 23264,Upper Canine,LINC C       UW,13.546,13.753,13.65,1,1,0,0,0,0,2,1,0,1,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Hippopotamoidea,Anthracotheriidae,Bothriodontinae,Bothriodontinae,Merycopotamus nanus,Merycopotamus,nanus,0,45170830    052  035,Y 32738,Lunar,LCOMP        U,13.546,13.753,13.65,1,1,0,0,0,0,2,0,1,0,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Giraffoidae,indet.,indet.,Giraffoidae,indet. indet.,indet.,indet.,0,451717      001  001,Y 23255,Horn Core / Ossicone,FRAG        B,13.546,13.753,13.65,1,1,0,0,0,2,0,1,0,1,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Bovoidea,Bovidae,indet.,Bovidae,indet. indet.,indet.,indet.,0,451720      001  001,Y 23258,Mandible,RINC DP4-M1  BE,13.546,13.753,13.65,1.9,1,0,0.1,0,2,0,0.9,0.6,0,NA,NA,Chinji,IR-2,IR-2
CH003,Artiodactyla,Traguloidea,Tragulidae,indet.,Tragulidae,Dorcatherium indet.,Dorcatherium,indet.,0,45171600    054  269,Y 23176,Mandible,LINC M3      BI,13.546,13.753,13.65,1,1,0,0,0,2,0,1,0,1,NA,NA,Chinji,IR-2,IR-2
CH003,Proboscidea,Elephantoidea,indet.,indet.,Elephantoidea,indet. indet.,indet.,indet.,0,45152       001  001,Y 23960,Indet. Molar,FRAGMI      BW,13.546,13.753,13.65,1.2,3,0,0,0.2,0,6.4,0,1,0,NA,NA,Chinji,IR-2,IR-2
D0013,Artiodactyla,Traguloidea,Tragulidae,indet.,Tragulidae,Dorcatherium indet.,Dorcatherium,indet.,0,45171600    054  168,Y 37704,Humerus,LDIST        B,6.459,6.575,6.517,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Perissodactyla,Equoidea,Equidae,Hipparionini,Hipparionini,indet. indet.,indet.,indet.,0,45180221    001  001,Y 15077,Phalanx,COMPLAT MED U,6.459,6.575,6.517,3,1,0,0,1,2,0,0,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Suoidea,Suidae,Suinae,Suinae,Sus indet.,Sus,indet.,0,45170550   ?065  085,D    17,Mandible,LINC DP4-M1  BU,6.459,6.575,6.517,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Bovoidea,Bovidae,Bovinae,Boselaphini,Miotragocerus punjabicus,Miotragocerus,punjabicus,0,45172012    117  003,Y 18144,Lower Molar,LINC M3      UU,6.459,6.575,6.517,2,1,0,0,0,2,0,1,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Bovoidea,Bovidae,Bovinae,Tragelaphini,indet. indet.,indet.,indet.,0,45172011    001  001,Y 50738,Maxilla,RINC P4-M3   BE,6.459,6.575,6.517,2,1,0,0,0,2,0,1,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Proboscidea,Gomphotherioidea,Gomphotheriidae,Amebelodontinae ,Amebelodontidae,Protanancus chinjiensis,Protanancus,chinjiensis,0,4515222     223  014,Y 50758,Lower Molar,RINC M3      BW,6.459,6.575,6.517,1,3,0,0,0,0,4,0,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Hippopotamoidea,Anthracotheriidae,Bothriodontinae,Bothriodontinae,Merycopotamus dissimilus,Merycopotamus,dissimilis,0,45170830    052  069,Y 18157,Lower Molar,LFRAGM3      BW,6.459,6.575,6.517,1,1,0,0,0,0,2,0,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Perissodactyla,Rhinocerotoidea,Rhinocerotidae,indet.,Rhinocerotidae,indet. indet.,indet.,indet.,0,451812      001  001,Y 16785,Upper Molar,INC MI      BV,6.459,6.575,6.517,1.2,1,0,0,0.1,1.1,1.9,0.9,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
D0013,Artiodactyla,Bovoidea,Bovidae,Hippotraginae,Hippotragini,indet. indet.,indet.,indet.,0,45172032    001  001,Y 50741,Lower Molar,RINC MI      BW,6.459,6.575,6.517,3,1,0,1,0,2,0,0,1,0,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar)
KL001,Primates,Euprimates,Hominidae,Sugrivapithecini,"Hominoidea, i.s.",Sivapithecus sivalensis,Sivapithecus,sivalensis,0,45051010    002  002,Y 51763,Lower Canine,LINC C       BW,9.243,9.286,9.265,1,1,1,0,0,0,0,0,0,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Proboscidea,Elephantoidea,Stegodontidae,Stegodontinae,Stegodontidae,Stegolophodon stegodontoides,Stegolophodon,stegodontoides,0,45152235    068cf154,Y 14991,Upper Molar,LINC M3      BW,9.243,9.286,9.265,1,3,0,0,0,0,5,0,1,0,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
KL001,Artiodactyla,Giraffoidae,Giraffidae,Sivatheriinae,Sivatheriinae,Bramatherium megacephalum,Bramatherium,megacephalum,0,45171735    050  034,Y 14998,Metatarsal,RDISTMED     B,9.243,9.286,9.265,1,1,0,0,0,2,0,1,0,1,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas
