HID,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE
CH003,7,1.157142857,1.285714286,0,0.014285714,0.028571429,1,1.771428571,0.7,0.514285714,0.485714286,13.65
D0013,9,1.688888889,1.222222222,0.111111111,0.111111111,0.122222222,1.233333333,0.877777778,0.433333333,0.777777778,0.111111111,6.517
KL001,9,1.344444444,1.222222222,0.333333333,0.011111111,0.122222222,1.011111111,0.766666667,0.422222222,0.4,0.266666667,9.265
KL003,6,1.366666667,1,0.333333333,0,0.183333333,1.183333333,0.316666667,0.483333333,0.5,0.166666667,9.37
KL004,5,1.58,1,0.2,0.02,0.2,1.2,0.4,0.58,0.32,0.48,9.765
KL008,6,1.883333333,1.016666667,0.133333333,0.166666667,0.166666667,1.166666667,0.733333333,0.533333333,0.616666667,0.216666667,7.762
KL009,5,1.62,1,0.2,0.02,0.22,1.42,0.38,0.56,0.52,0.28,7.692
KL011,14,1.685714286,1.285714286,0.142857143,0.142857143,0.178571429,1.285714286,1.05,0.428571429,0.642857143,0.214285714,7.961
KL012,10,1.74,1.2,0.2,0.1,0.23,1.11,1.03,0.39,0.5,0.3,8.544
KL016,5,1.66,1.4,0,0.02,0.26,1.42,1.66,0.56,0.72,0.28,8.805
KL020,6,2.033333333,1,0.166666667,0,0.35,1.516666667,0.316666667,0.483333333,0.666666667,0.166666667,9.837
KL021,6,1.733333333,1.333333333,0.166666667,0,0.366666667,1.333333333,1.066666667,0.333333333,0.616666667,0.216666667,8.118
L0012,6,2.033333333,1,0,0.333333333,0.183333333,1.85,0.316666667,0.483333333,0.666666667,0.333333333,7.96
L0021,5,1,1,0.2,0,0,1,0.8,0.8,0.2,0.6,11.404
L0022,5,1.4,1.42,0.16,0.02,0.2,0.8,1.28,0.62,0.32,0.48,11.856
L0072,9,1.666666667,1.222222222,0.111111111,0.222222222,0.111111111,1.222222222,1,0.333333333,0.666666667,0.222222222,7.326
L0075,5,1.4,1,0.4,0.2,0,1.2,0,0.4,0.2,0.4,8.01
L0082,10,1.52,1.4,0.2,0.2,0.12,0.9,1.24,0.3,0.5,0.2,7.365
L0094,8,1.3875,1,0.375,0.0125,0.1375,0.8875,0.4875,0.35,0.45,0.175,10.228
L0101,9,1.333333333,1.111111111,0.555555556,0.111111111,0,0.444444444,0.222222222,0.222222222,0.111111111,0.222222222,3.3
L0102,7,1.414285714,1,0.428571429,0.014285714,0.142857143,0.857142857,0.285714286,0.271428571,0.371428571,0.2,3.3
ML005,7,1.414285714,1,0.142857143,0.014285714,0.142857143,1.428571429,0.285714286,0.7,0.228571429,0.628571429,8.726
ML006,5,2,1.02,0.18,0.02,0.4,1.6,0,0.38,0.52,0.28,8.86
RK001,6,1.533333333,1.016666667,0.133333333,0.016666667,0.183333333,1.35,0.383333333,0.666666667,0.433333333,0.233333333,10.421
Y0004,5,2.24,1.4,0.2,0.4,0.24,1.2,1.28,0,0.8,0,8.417
