LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE,LAT,LONG,FORMATION,REFERENCE.SECTION,PALEOMAG.SECTION,MINIMUM.AGE,MAXIMUM.AGE,precipPredLM,precipPredRF,precipPredSCAM,precipPredSVM,precipPredGBM,precipPredMARS,precipPredGAM,precipPredXGB,ensemblePrec,tempPredRF,tempPredSCAM,tempPredSVM,tempPredGBM,tempPredMARS,tempPredGAM,tempPredXGB,tempPredLM,ensembleTemp,precipHYP
CH003,7,1.157142857142857,1.2857142857142858,0,0.014285714285714287,0.028571428571428574,1,1.7714285714285716,0.7,0.5142857142857142,0.42857142857142855,13.65,NA,NA,Chinji,IR-2,IR-2,13.546,13.753,1315.5857142857144,1106.3223659385726,1963.40312167598,1056.9074841933932,1163.8771099528678,2040.183735293373,2669.05441108339,1598.3509521484375,1666.624704689597,7.958911212233398,10.9042997741233,12.180779126754494,8.004951190714737,11.556786183569848,11.3309710130749,7.9610443115234375,14.785714285714286,10.322783083411784,990.246212073669
D0013,9,1.6888888888888889,1.2222222222222223,0.1111111111111111,0.1111111111111111,0.12222222222222222,1.2333333333333334,0.8777777777777778,0.43333333333333335,0.7777777777777778,0.1111111111111111,6.517,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar),6.459,6.575,965.6777777777777,1919.2693692331381,1277.38324392288,1315.9488834398342,1723.597459428454,1710.300793654628,1893.89570421629,2604.662353515625,1640.0659089825376,21.622495045235432,18.9067396683887,21.008001356267197,21.67276839809319,21.480674712662793,17.2702798934175,21.695585250854492,23.833333333333332,20.32682651234414,929.284128078835
KL001,9,1.3444444444444443,1.2222222222222223,0.3333333333333333,0.011111111111111112,0.12222222222222222,1.011111111111111,0.7666666666666666,0.4222222222222222,0.4,0.2222222222222222,9.265,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.243,9.286,1252.1111111111113,1212.6772082514692,1865.04141743942,1445.8669374651306,1198.3314749330436,2115.103834862193,1982.51050301606,1396.2120361328125,1636.5885626612185,8.08162585943738,14.7523554106667,10.588540736672273,8.578658767031657,10.758617633914094,14.4592772017466,7.227115154266357,20.666666666666668,11.203179268244769,990.058773756971
KL003,6,1.3666666666666667,1,0.3333333333333333,0,0.18333333333333335,1.1833333333333333,0.31666666666666665,0.48333333333333334,0.5,0.16666666666666666,9.37,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.324,9.416,1100.85,1130.1118767865091,1876.03200480599,1405.568277898055,1080.163540034889,2175.079899104182,1634.81254590618,1497.692138671875,1550.2946907559674,8.665632306389055,16.9980769574272,9.78808241065375,10.504934781014196,10.045094754490343,15.6326204350384,10.519107818603516,22.25,11.93907360750216,989.759510132953
KL004,5,1.58,1,0.2,0.02,0.2,1.2,0.4,0.58,0.32,0.4,9.765,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.725,9.804,1025.1800000000003,883.2868916028422,1291.11501117324,1057.8730180288171,1089.7290275372454,1552.8490992180891,1459.67559826699,808.85198974609375,1222.421440971204,7.821305527052756,11.1617913327709,13.659337211493888,7.294045020902228,13.038278992662985,11.9408674230664,7.270648002624512,15.6,10.819270917991528,967.020068848711
KL008,6,1.8833333333333333,1.0166666666666666,0.13333333333333333,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.7333333333333334,0.5333333333333333,0.6166666666666667,0.16666666666666666,7.762,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,7.701,7.823,965.55,1618.2073551991123,906.482438839958,1186.2680446708464,1362.1610374271056,1429.83064381438,973.709840920501,2736.4833984375,1246.1098934786505,21.435930386276645,16.9980769574272,22.76026559224357,21.319316770266013,21.26367375040795,15.6326204350384,21.385828018188477,22.25,19.90164731527663,772.486291843619
KL009,5,1.6199999999999999,1,0.2,0.02,0.22,1.42,0.38,0.56,0.52,0.2,7.692,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,7.634,7.75,828.6000000000001,1046.9136412497476,1318.80317967328,1069.5447700906288,1119.7368492762566,1764.7366498341623,1488.82284423796,1044.656982421875,1301.4263223936723,7.96617821711392,15.6506586077165,12.521871054857346,8.078351939943152,12.366572389686343,14.8734150327319,8.0914764404296875,21.3,11.909507873674858,956.119152409228
KL011,14,1.6857142857142857,1.2857142857142858,0.14285714285714285,0.14285714285714285,0.17857142857142858,1.2857142857142858,1.05,0.42857142857142855,0.6428571428571429,0.21428571428571427,7.961,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,7.82,8.102,922.542857142857,1735.304174626378,1209.94186332411,1297.058429351568,1667.8727261108068,1714.8798981418158,1376.66683253357,2859.40673828125,1500.2873206813745,20.14473174723016,15.0696326845386,22.39165890345685,21.861662596308754,20.97164209285395,14.5993479102079,21.51667594909668,20.892857142857142,19.173112655766037,930.782074748522
KL012,10,1.74,1.2,0.2,0.1,0.23,1.11,1.03,0.39,0.5,0.3,8.544,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,8.465,8.623,1054.6299999999997,1691.1723559387417,1088.56628096216,1043.4794061339087,1897.7775939179514,1636.5772114109056,1206.02204790818,2979.75634765625,1427.2658160453088,19.991758320731762,12.2859278196653,24.363776838599502,19.778498938235852,22.442391642312483,13.3962537953115,19.530385971069336,18.450000000000003,18.709767892476066,901.131372880813
KL016,5,1.66,1.4,0,0.02,0.26,1.42,1.6600000000000001,0.56,0.72,0.2,8.805,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,8.734,8.876,817.04,660.7322850345,1257.78773531142,764.9153300126906,620.782657785798,1707.039933295597,1797.60981294174,1113.0887451171875,1134.8112923969572,7.96617821711392,15.6506586077165,12.521871054857346,8.078351939943152,12.366572389686343,14.8734150327319,8.0914764404296875,21.3,11.909507873674858,941.934940892491
