LOCALITY,n_sp,HYP,HOD,BUN,SF,OT,LOP,LOPT,AL,OL,ALX,AVERAGE.AGE,LAT,LONG,FORMATION,REFERENCE.SECTION,PALEOMAG.SECTION,MINIMUM.AGE,MAXIMUM.AGE,precipPredLM,precipPredRF,precipPredSCAM,precipPredSVM,precipPredGBM,precipPredMARS,precipPredGAM,precipPredXGB,ensemblePrec,tempPredRF,tempPredSCAM,tempPredSVM,tempPredGBM,tempPredMARS,tempPredGAM,tempPredXGB,tempPredLM,ensembleTemp,precipHYP,form_lon,form_lat,final_lon,final_lat,coord_source,lon_jit,lat_jit,bio15PredRF,bio15PredSCAM,bio15PredSVM,bio15PredGBM,bio15PredMARS,bio15PredGAM,bio15PredXGB,ensembleBio15,nppPredRF,nppPredSVM,nppPredGBM,nppPredMARS,nppPredGAM,nppPredSCAM,ensembleNPP,NPP_liu,MAP_lm_PN,MAT_lm_PN
CH003,7,1.157142857,1.285714286,0,0.014285714,0.028571429,1,1.771428571,0.7,0.514285714,0.428571429,13.65,NA,NA,Chinji,IR-2,IR-2,13.546,13.753,1315.585714,2047.200349,1746.017932,1658.5154,2239.630218,2973.565989,2809.015985,1824.223145,2245.657645,-7.482986171,-1.266924186,-13.25817948,-8.011160777,-6.477628807,-2.760077848,-7.547072411,14.78571429,-6.542826212,3131.494455,72.33238333,32.698,72.33238333,32.698,formation_centroid,72.48171351,32.55073059,59.91573106,70.14034527,40.79932837,41.42491088,20.80937351,20.52284462,56.24629593,42.26875562,1872.984351,2053.774693,2373.13057,2131.362125,2186.96766,1185.982021,1967.366903,1561.981429,3413.77821,-2.343086844
D0013,9,1.688888889,1.222222222,0.111111111,0.111111111,0.122222222,1.233333333,0.877777778,0.433333333,0.777777778,0.111111111,6.517,NA,NA,Dhok Pathan,Pillar I (Bhandar),Pillar I (Bhandar),6.459,6.575,965.6777778,983.4443,992.2461052,1099.340303,1152.356519,924.4772881,1102.607397,1355.897827,1042.411985,-2.92196597,13.58472562,9.745931396,-4.594156028,6.962608984,11.76738888,-4.742434978,23.83333333,5.757422146,1275.492091,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.53011382,33.22447812,68.92463518,76.89326524,54.3171247,54.5933859,53.54539292,72.00086015,57.18956757,63.37911068,1482.233301,1628.062117,1926.591664,1505.455575,1637.259881,1403.329971,1597.155418,1156.641111,1237.242983,13.78055276
KL001,9,1.344444444,1.222222222,0.333333333,0.011111111,0.122222222,1.011111111,0.766666667,0.422222222,0.4,0.222222222,9.265,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.243,9.286,1252.111111,2111.052125,2423.495244,1949.95666,2404.162852,2326.476688,2669.757545,2001.940186,2314.150186,-3.884006808,5.454832768,-1.688004538,0.76132457,-2.439313104,6.319255354,1.567477226,20.66666667,0.754014707,2730.951578,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.2957769,33.06650602,48.12100994,70.58960562,46.19894401,37.13959458,50.01155399,32.64864045,40.02837753,47.4515581,1908.210108,1981.989533,2138.364259,1859.428759,2278.685754,1735.61581,1983.715704,1493.388889,2550.277105,8.137278897
KL003,6,1.366666667,1,0.333333333,0,0.183333333,1.183333333,0.316666667,0.483333333,0.5,0.166666667,9.37,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.324,9.416,1100.85,1688.354219,1974.313705,1758.400213,1982.544139,2075.31242,2496.299192,2087.164551,1995.870648,2.508840438,8.627671713,-0.09170828,7.071164746,-1.973989708,8.236828805,10.45251369,22.25,4.063134619,2647.001835,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.49172781,32.95155886,65.01721876,71.60491695,42.13378994,38.70590679,46.4541832,33.13174263,62.80667877,49.50795971,1575.499998,1769.643145,1666.447915,1607.577767,1890.93,1487.241809,1666.223439,1306.878333,2102.64033,10.95891583
KL004,5,1.58,1,0.2,0.02,0.2,1.2,0.4,0.58,0.32,0.4,9.765,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,9.725,9.804,1025.18,1175.034735,1128.643188,1220.513098,1205.645737,1822.014835,1183.248461,1040.773071,1289.183342,-8.168984696,0.652335884,-10.58813429,-9.948081722,-4.568272924,-1.058189696,-10.11785412,15.6,-5.613221241,1697.901038,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.42379505,32.95177442,67.84576273,68.89938278,54.84750736,76.20371792,43.67409677,65.81662663,97.3065033,62.88118236,1451.163878,1367.443129,1329.719244,1426.185529,1477.87695,1081.857288,1355.70767,1224.566,1502.797349,-0.89195928
KL008,6,1.883333333,1.016666667,0.133333333,0.166666667,0.166666667,1.166666667,0.733333333,0.533333333,0.616666667,0.166666667,7.762,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,7.701,7.823,965.55,879.690892,901.6848545,919.0689839,703.6749672,858.6533739,942.6338205,767.4313354,867.5678153,13.57658552,8.627671713,15.48924344,14.37821115,15.22058065,8.236828805,13.5495882,22.25,12.58818688,792.5427668,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.37964121,33.28057966,73.73930774,71.95970913,61.73469411,71.94370054,65.48380871,71.12526186,77.84680176,69.33108035,1388.251542,1501.992425,1634.84505,1505.026739,1600.47898,1330.542871,1493.522934,1167.051667,982.7811554,10.95891583
KL009,5,1.62,1,0.2,0.02,0.22,1.42,0.38,0.56,0.52,0.2,7.692,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,7.634,7.75,828.6,887.5243089,1122.845264,1166.044131,1005.339509,1363.63089,1284.007009,955.307373,1138.231852,-4.359163922,6.409643401,-0.309658203,-5.632356821,-2.573696845,6.956686808,-5.875989914,21.3,0.08190907,1531.803135,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.45793846,33.07138618,75.27880564,68.8888962,44.66119674,76.73965837,44.29327228,47.11764125,81.39168549,59.49657841,1156.420538,1307.500813,1003.843674,1168.732613,1332.387299,1222.511855,1198.566132,982.78,1154.115012,9.265933669
KL011,14,1.685714286,1.285714286,0.142857143,0.142857143,0.178571429,1.285714286,1.05,0.428571429,0.642857143,0.214285714,7.961,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,7.82,8.102,922.5428571,967.4335617,938.0655987,1119.416977,922.1585188,1199.271137,1062.010971,854.5599365,1034.726127,9.981287651,5.747033898,9.090628397,10.8253247,10.41586634,6.534637448,10.31812572,20.89285714,8.765796406,1286.422916,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.24124664,33.22729441,67.23046934,70.12718275,50.07617289,54.46820137,47.1934752,55.67561401,67.79227448,57.46185259,1353.118257,1578.504404,1404.74607,1504.499824,1546.115032,1372.751147,1459.955789,1102.937143,1184.2411,8.540369887
KL012,10,1.74,1.2,0.2,0.1,0.23,1.11,1.03,0.39,0.5,0.3,8.544,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,8.465,8.623,1054.63,934.2388406,1058.209321,1031.679559,971.2184391,1281.378572,1061.222407,1069.814819,1056.324523,7.414791925,4.071849866,6.611759253,7.831982584,5.958833801,4.05725575,7.774925232,18.45,5.991078863,1112.026894,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.42928389,33.26460458,71.50389241,67.29429338,51.77055765,73.04515716,46.17880186,56.06916031,72.48550415,60.97697713,1391.817929,1482.481841,1409.851084,1548.578821,1604.663894,1375.603989,1468.832926,1269.811,1284.584713,4.186987194
KL016,5,1.66,1.4,0,0.02,0.26,1.42,1.66,0.56,0.72,0.2,8.805,NA,NA,Dhok Pathan,Kaulial Kas,Kaulial Kas,8.734,8.876,817.04,846.9337718,678.2130306,936.1719616,980.3533768,962.7557249,950.4179372,1255.405151,892.4743005,-4.359163922,6.409643401,-0.309658203,-5.632356821,-2.573696845,6.956686808,-5.875989914,21.3,0.08190907,1378.170849,72.37276667,33.11698333,72.37276667,33.11698333,formation_centroid,72.44658999,33.09541077,63.06694901,65.07530289,28.31944967,49.45824757,21.04958094,39.94007998,61.05783463,44.48493501,873.5895358,1286.209631,940.0362912,1116.665739,1282.367964,730.6665017,1038.255944,970.608,1086.819528,9.265933669
